#{"t_start": 1589749273.234755, "env_id": "ct_rk_cartpole_swingupsafe_dm-v1"}
r,l,t
832.327194,2001,2056.124333
741.98667,2001,2058.236561
924.047839,2001,2060.408099
767.314359,2001,2062.86534
755.029352,2001,2067.08579
784.650291,2001,2069.287047
882.642895,2001,2071.499438
838.425089,2001,2074.166164
840.46994,2001,2076.627657
861.132363,2001,2080.88259
744.728346,2001,2082.942752
942.190839,2001,2085.484304
875.83061,2001,2087.672281
926.769179,2001,2089.807809
879.568468,2001,2094.133909
824.102363,2001,2096.396662
890.855067,2001,2098.968867
780.123896,2001,2101.216849
844.425535,2001,2103.275728
835.810864,2001,2107.775849
951.330186,2001,2110.376321
916.926902,2001,2112.583282
836.721847,2001,2114.634661
972.022952,2001,2116.890023
801.854795,2001,2122.190696
958.234253,2001,2124.924083
997.816985,2001,2127.199693
894.632478,2001,2130.716754
931.339588,2001,2133.728151
718.030754,2001,2138.598626
872.573302,2001,2140.687965
847.871263,2001,2142.778568
944.415853,2001,2145.239214
687.001833,2001,2147.313417
892.955106,2001,2152.108721
884.166189,2001,2154.579401
792.586631,2001,2157.121459
1007.081124,2001,2159.240159
950.176582,2001,2161.326078
939.009293,2001,2165.575956
1011.886333,2001,2168.45598
868.443355,2001,2170.607655
910.218871,2001,2172.719763
948.726807,2001,2174.904454
955.089546,2001,2179.564831
864.247447,2001,2181.632524
871.358317,2001,2183.754375
890.321602,2001,2185.869341
819.52136,2001,2188.421196
864.536784,2001,2192.748687
853.798112,2001,2194.894292
888.612678,2001,2197.062205
840.901346,2001,2199.971546
889.270205,2001,2202.140403
950.238884,2001,2206.478569
893.521055,2001,2208.603335
970.648881,2001,2211.144706
958.734635,2001,2213.310835
967.218978,2001,2215.429429
784.693922,2001,2219.60574
936.365722,2001,2221.711353
919.964303,2001,2224.235647
887.643754,2001,2226.400096
883.194592,2001,2228.762261
860.899422,2001,2233.371537
896.072944,2001,2235.992109
923.777227,2001,2238.09099
995.588817,2001,2240.261481
969.048945,2001,2242.468917
899.71335,2001,2247.252178
951.114163,2001,2249.394119
779.028787,2001,2251.562702
937.388543,2001,2253.70472
882.014249,2001,2256.299096
843.652739,2001,2260.824134
803.517076,2001,2262.881575
894.423114,2001,2264.93139
942.091308,2001,2267.480249
903.800191,2001,2269.539541
848.452516,2001,2273.706315
855.891186,2001,2275.832554
907.290678,2001,2278.522429
939.841226,2001,2280.575749
934.668716,2001,2282.655939
912.638819,2001,2286.860444
813.456595,2001,2289.50196
497.02145,2001,2291.741662
592.791747,2001,2293.912485
510.12345,2001,2295.968105
615.697987,2001,2300.70195
735.807734,2001,2302.845109
629.483009,2001,2304.924634
762.574239,2001,2306.974535
689.872619,2001,2309.500545
744.019804,2001,2313.786762
700.384967,2001,2315.982013
692.978931,2001,2318.13626
605.249918,2001,2321.021971
692.247812,2001,2323.174936
691.356003,2001,2327.346694
562.855489,2001,2329.401728
730.400304,2001,2331.524819
657.93117,2001,2334.060691
753.700051,2001,2336.126001
650.565641,2001,2340.334722
736.602303,2001,2342.432885
713.555532,2001,2345.058954
720.385972,2001,2347.172652
814.76421,2001,2349.34369
